season;time;home;numpen;goaldiff;pendiff;ppgoal;capacity;month;timebetpens;inRow;gf1;ga1;pf1;pa1;gf2;ga2;pf2;pa2
2014-2015;17.32;0;11;0;0;0;0;1;2.13;-1;2.02;3.08;3.90;4.17;2.90;2.52;3.90;4.40
2014-2015;20.31;1;12;-1;-1;0;0;1;2.99;-2;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;23.22;0;13;-1;0;0;0;1;2.91;1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;25.03;1;14;0;-1;1;0;1;1.81;-1;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;35.42;0;15;-1;0;0;0;1;10.39;1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;36.05;1;16;-1;-1;0;0;1;0.63;-1;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;37.19;0;17;-1;0;0;0;1;1.14;1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;40.33;1;18;-1;-1;0;0;1;3.14;-1;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;42.25;0;19;-1;0;0;0;1;1.92;1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;47.05;1;20;0;-1;1;0;1;4.8;-1;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;51.34;0;21;0;0;0;0;1;4.29;1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;57.25;0;22;1;-1;0;0;1;5.91;-1;2.02;3.08;3.90;4.17;2.90;2.52;3.90;4.40
2014-2015;0.4;1;1;0;0;0;0;1;;0;;;;;2.52;2.43;4.45;4.43
2014-2015;6.47;0;2;0;1;0;0;1;6.07;1;2.23;1.92;3.72;3.73;2.23;1.92;3.72;3.73
2014-2015;17.23;0;3;1;0;1;0;1;10.76;-1;2.52;2.43;4.45;4.43;2.23;1.92;3.72;3.73
2014-2015;25.41;1;4;2;-1;1;0;1;8.18;-2;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
2014-2015;29.48;0;5;2;0;0;0;1;4.07;1;2.23;1.92;3.72;3.73;2.23;1.92;3.72;3.73
2014-2015;34.4;1;6;2;-1;0;0;1;4.92;-1;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
2014-2015;44.3;0;7;1;0;1;0;1;9.9;1;2.23;1.92;3.72;3.73;2.23;1.92;3.72;3.73
2014-2015;46.35;0;8;1;-1;0;0;1;2.05;-1;2.52;2.43;4.45;4.43;2.23;1.92;3.72;3.73
2014-2015;47.18;0;9;1;-2;0;0;1;0.83;-2;2.52;2.43;4.45;4.43;2.23;1.92;3.72;3.73
2014-2015;54.39;1;10;2;-3;1;0;1;7.21;-3;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
2014-2015;60;1;11;3;-2;0;0;1;5.61;1;2.23;1.92;3.72;3.73;2.52;2.43;4.45;4.43
2014-2015;3.06;1;1;0;0;0;0;1;;0;;;;;2.38;2.75;3.55;3.83
2014-2015;7.09;0;2;-1;1;0;0;1;4.03;1;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
2014-2015;11.3;1;3;-1;0;0;0;1;4.21;-1;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
2014-2015;23.28;0;4;-1;1;0;0;1;11.98;1;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
2014-2015;28.26;0;5;0;0;1;0;1;4.98;-1;2.38;2.75;3.55;3.83;2.08;2.77;4.08;4.23
