season;time;home;numpen;goaldiff;pendiff;ppgoal;capacity;month;timebetpens;inRow;gf1;ga1;pf1;pa1;gf2;ga2;pf2;pa2
2016-2017;26.26;0;1;1;0;0;0;6;;0;;;;;2.55;2.27;3.40;3.43
2016-2017;30;0;2;1;-1;0;0;6;3.74;-1;2.28;2.88;3.28;3.37;2.55;2.27;3.40;3.43
2016-2017;46.05;0;3;2;-2;0;0;6;16.05;-2;2.28;2.88;3.28;3.37;2.55;2.27;3.40;3.43
2016-2017;4.39;1;1;0;0;0;0;6;;0;;;;;2.13;2.35;3.15;2.95
2016-2017;9.21;0;2;0;1;0;0;6;4.82;1;2.80;2.33;4.10;3.25;2.80;2.33;4.10;3.25
2016-2017;31.04;1;3;1;0;0;0;6;21.83;-1;2.13;2.35;3.15;2.95;2.13;2.35;3.15;2.95
2016-2017;35.56;1;4;0;1;1;0;6;4.52;1;2.80;2.33;4.10;3.25;2.13;2.35;3.15;2.95
2016-2017;42.49;0;5;-2;2;1;0;6;6.93;2;2.80;2.33;4.10;3.25;2.80;2.33;4.10;3.25
2016-2017;44.29;0;6;-1;1;1;0;6;1.8;-1;2.13;2.35;3.15;2.95;2.80;2.33;4.10;3.25
2016-2017;47.32;0;7;-1;0;0;0;6;3.03;-2;2.13;2.35;3.15;2.95;2.80;2.33;4.10;3.25
2016-2017;58.07;1;8;0;-1;1;0;6;10.75;-3;2.13;2.35;3.15;2.95;2.13;2.35;3.15;2.95
2016-2017;61.36;0;9;0;0;0;0;6;3.29;1;2.80;2.33;4.10;3.25;2.80;2.33;4.10;3.25
2016-2017;14.44;1;1;-1;0;0;0;6;;0;;;;;2.13;2.37;2.85;3.40
2016-2017;28.52;1;2;0;1;0;0;6;14.08;1;2.45;2.27;3.00;3.20;2.13;2.37;2.85;3.40
2016-2017;31.15;0;3;0;2;0;0;6;2.63;2;2.45;2.27;3.00;3.20;2.45;2.27;3.00;3.20
2016-2017;48.13;1;4;0;1;0;0;6;16.98;-1;2.13;2.37;2.85;3.40;2.13;2.37;2.85;3.40
2016-2017;48.23;0;5;0;2;0;0;6;0.1;1;2.45;2.27;3.00;3.20;2.45;2.27;3.00;3.20
2016-2017;2.4;0;1;-1;0;0;0;6;;0;;;;;2.62;2.50;3.73;3.58
2016-2017;4.3;0;2;-1;-1;0;0;6;1.9;-1;1.93;3.02;3.40;3.67;2.62;2.50;3.73;3.58
2016-2017;8.05;1;3;-1;-2;0;0;6;3.75;-2;1.93;3.02;3.40;3.67;1.93;3.02;3.40;3.67
2016-2017;10.06;0;4;-1;-1;0;0;6;2.01;1;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;25.23;0;5;-2;-2;0;0;6;15.17;-1;1.93;3.02;3.40;3.67;2.62;2.50;3.73;3.58
2016-2017;33.04;1;6;-2;-3;0;0;6;7.81;-2;1.93;3.02;3.40;3.67;1.93;3.02;3.40;3.67
2016-2017;15.35;0;1;1;0;0;0;6;;0;;;;;3.08;2.15;3.18;2.98
2016-2017;23.13;0;2;1;-1;0;0;6;7.78;-1;2.13;2.82;3.22;3.47;3.08;2.15;3.18;2.98
2016-2017;38.41;1;3;-1;-2;0;0;6;15.28;-2;2.13;2.82;3.22;3.47;2.13;2.82;3.22;3.47
2016-2017;42.2;0;4;-2;-1;1;0;6;3.79;1;3.08;2.15;3.18;2.98;3.08;2.15;3.18;2.98
2016-2017;51;0;5;-1;-2;1;0;6;8.8;-1;2.13;2.82;3.22;3.47;3.08;2.15;3.18;2.98
2016-2017;2.27;1;1;-1;0;0;0;6;;0;;;;;2.67;2.05;3.53;3.32
2016-2017;22.44;0;4;-2;1;0;0;6;20.17;1;2.78;2.05;3.62;3.27;2.78;2.05;3.62;3.27
2016-2017;24.03;1;5;-2;0;0;0;6;1.59;-1;2.67;2.05;3.53;3.32;2.67;2.05;3.53;3.32
2016-2017;33.2;0;8;-2;1;0;0;6;9.17;1;2.78;2.05;3.62;3.27;2.78;2.05;3.62;3.27
2016-2017;36.15;0;9;-2;0;0;0;6;2.95;-1;2.67;2.05;3.53;3.32;2.78;2.05;3.62;3.27
2016-2017;41.56;1;10;-2;-1;0;0;6;5.41;-2;2.67;2.05;3.53;3.32;2.67;2.05;3.53;3.32
2016-2017;49.06;1;11;-3;0;1;0;6;7.5;1;2.78;2.05;3.62;3.27;2.67;2.05;3.53;3.32
2016-2017;50.58;0;12;-3;1;0;0;6;1.52;2;2.78;2.05;3.62;3.27;2.78;2.05;3.62;3.27
2016-2017;57.24;0;13;-3;0;0;0;6;6.66;-1;2.67;2.05;3.53;3.32;2.78;2.05;3.62;3.27
2016-2017;58.06;0;14;-3;-1;0;0;6;0.82;-2;2.67;2.05;3.53;3.32;2.78;2.05;3.62;3.27
2016-2017;10.57;1;1;0;0;0;0;6;;0;;;;;2.30;2.33;2.78;3.28
2016-2017;16.11;1;2;0;1;0;0;6;5.54;1;2.13;2.35;3.15;2.95;2.30;2.33;2.78;3.28
2016-2017;23.17;0;3;0;2;0;0;6;7.06;2;2.13;2.35;3.15;2.95;2.13;2.35;3.15;2.95
2016-2017;28.44;1;4;0;1;0;0;6;5.27;-1;2.30;2.33;2.78;3.28;2.30;2.33;2.78;3.28
2016-2017;37.08;0;5;0;2;0;0;6;8.64;1;2.13;2.35;3.15;2.95;2.13;2.35;3.15;2.95
2016-2017;40;0;6;0;1;0;0;6;2.92;-1;2.30;2.33;2.78;3.28;2.13;2.35;3.15;2.95
2016-2017;46.3;0;7;0;0;0;0;6;6.3;-2;2.30;2.33;2.78;3.28;2.13;2.35;3.15;2.95
2016-2017;52.41;1;8;0;-1;0;0;6;6.11;-3;2.30;2.33;2.78;3.28;2.30;2.33;2.78;3.28
2016-2017;52.55;1;9;0;0;0;0;6;0.14;1;2.13;2.35;3.15;2.95;2.30;2.33;2.78;3.28
2016-2017;56.39;0;10;-1;1;1;0;6;3.84;2;2.13;2.35;3.15;2.95;2.13;2.35;3.15;2.95
2016-2017;59.25;1;11;-1;0;0;0;6;2.86;-1;2.30;2.33;2.78;3.28;2.30;2.33;2.78;3.28
2016-2017;5.43;1;1;0;0;0;0;6;;0;;;;;2.45;2.27;3.00;3.20
2016-2017;19.56;0;2;0;1;0;0;6;14.13;1;2.67;2.05;3.53;3.32;2.67;2.05;3.53;3.32
2016-2017;27.27;0;3;0;0;0;0;6;7.71;-1;2.45;2.27;3.00;3.20;2.67;2.05;3.53;3.32
2016-2017;50;0;4;0;-1;0;0;6;22.73;-2;2.45;2.27;3.00;3.20;2.67;2.05;3.53;3.32
2016-2017;2.37;1;1;0;0;0;0;6;;0;;;;;2.78;2.05;3.62;3.27
2016-2017;22.46;0;2;-1;1;0;0;6;20.09;1;2.28;2.88;3.28;3.37;2.28;2.88;3.28;3.37
2016-2017;37.3;0;3;-1;0;0;0;6;14.84;-1;2.78;2.05;3.62;3.27;2.28;2.88;3.28;3.37
2016-2017;51.24;1;4;0;-1;1;0;6;13.94;-2;2.78;2.05;3.62;3.27;2.78;2.05;3.62;3.27
2016-2017;54.44;0;5;-1;0;1;0;6;3.2;1;2.28;2.88;3.28;3.37;2.28;2.88;3.28;3.37
2016-2017;0.53;0;1;0;0;0;0;6;;0;;;;;2.38;2.43;3.20;3.18
2016-2017;5.53;0;2;0;-1;0;0;6;5;-1;2.62;2.50;3.73;3.58;2.38;2.43;3.20;3.18
2016-2017;9.09;0;3;0;-2;0;0;6;3.56;-2;2.62;2.50;3.73;3.58;2.38;2.43;3.20;3.18
2016-2017;9.28;1;4;0;-3;0;0;6;0.19;-3;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;11.16;0;5;0;-2;0;0;6;1.88;1;2.38;2.43;3.20;3.18;2.38;2.43;3.20;3.18
2016-2017;12.55;0;6;0;-3;0;0;6;1.39;-1;2.62;2.50;3.73;3.58;2.38;2.43;3.20;3.18
2016-2017;26.45;0;7;-1;-4;0;0;6;13.9;-2;2.62;2.50;3.73;3.58;2.38;2.43;3.20;3.18
2016-2017;27.58;1;8;-1;-5;0;0;6;1.13;-3;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;27.58;0;9;-1;-4;0;0;6;0;1;2.38;2.43;3.20;3.18;2.38;2.43;3.20;3.18
2016-2017;27.58;0;10;-1;-5;0;0;6;0;-1;2.62;2.50;3.73;3.58;2.38;2.43;3.20;3.18
2016-2017;27.58;0;11;-1;-6;0;0;6;0;-2;2.62;2.50;3.73;3.58;2.38;2.43;3.20;3.18
2016-2017;32.47;1;12;-1;-7;0;0;6;4.89;-3;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;37.17;1;13;-2;-6;0;0;6;4.7;1;2.38;2.43;3.20;3.18;2.62;2.50;3.73;3.58
2016-2017;41.16;1;14;-2;-5;0;0;6;3.99;2;2.38;2.43;3.20;3.18;2.62;2.50;3.73;3.58
2016-2017;44;0;15;-2;-4;0;0;6;2.84;3;2.38;2.43;3.20;3.18;2.38;2.43;3.20;3.18
2016-2017;49.21;0;16;-3;-5;0;0;6;5.21;-1;2.62;2.50;3.73;3.58;2.38;2.43;3.20;3.18
2016-2017;49.59;1;17;-3;-6;0;0;6;0.38;-2;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;53.08;1;18;-3;-5;0;0;6;3.49;1;2.38;2.43;3.20;3.18;2.62;2.50;3.73;3.58
2016-2017;3.03;0;1;0;0;0;0;6;;0;;;;;1.93;3.02;3.40;3.67
2016-2017;16.07;1;2;-1;-1;0;0;6;13.04;-1;2.52;2.95;3.42;3.52;2.52;2.95;3.42;3.52
2016-2017;23.46;0;3;-2;0;1;0;6;7.39;1;1.93;3.02;3.40;3.67;1.93;3.02;3.40;3.67
2016-2017;38.26;1;4;-2;-1;0;0;6;14.8;-1;2.52;2.95;3.42;3.52;2.52;2.95;3.42;3.52
2016-2017;45.18;0;5;-2;0;0;0;6;6.92;1;1.93;3.02;3.40;3.67;1.93;3.02;3.40;3.67
2016-2017;1.07;1;1;0;0;0;0;6;;0;;;;;2.13;2.35;3.15;2.95
2016-2017;33.31;1;2;-2;1;0;0;6;32.24;1;2.38;2.43;3.20;3.18;2.13;2.35;3.15;2.95
2016-2017;37.44;0;3;-3;2;1;0;6;4.13;2;2.38;2.43;3.20;3.18;2.38;2.43;3.20;3.18
2016-2017;3.46;1;1;0;0;0;0;6;;0;;;;;1.93;3.02;3.40;3.67
2016-2017;4.43;0;2;0;1;0;0;6;0.97;1;2.67;2.05;3.53;3.32;2.67;2.05;3.53;3.32
2016-2017;21.16;0;3;0;0;0;0;6;16.73;-1;1.93;3.02;3.40;3.67;2.67;2.05;3.53;3.32
2016-2017;37.2;0;4;1;-1;1;0;6;16.04;-2;1.93;3.02;3.40;3.67;2.67;2.05;3.53;3.32
2016-2017;37.2;0;5;1;-2;0;0;6;0;-3;1.93;3.02;3.40;3.67;2.67;2.05;3.53;3.32
2016-2017;56.11;1;6;4;-3;1;0;6;18.91;-4;1.93;3.02;3.40;3.67;1.93;3.02;3.40;3.67
2016-2017;9.41;1;1;-1;0;0;0;6;;0;;;;;2.55;2.27;3.40;3.43
2016-2017;17.55;1;4;-1;1;0;0;6;8.14;1;2.80;2.33;4.10;3.25;2.55;2.27;3.40;3.43
2016-2017;33.01;0;5;-1;2;0;0;6;15.46;2;2.80;2.33;4.10;3.25;2.80;2.33;4.10;3.25
2016-2017;41.47;0;6;-1;1;0;0;6;8.46;-1;2.55;2.27;3.40;3.43;2.80;2.33;4.10;3.25
2016-2017;53.22;1;7;-1;0;0;0;6;11.75;-2;2.55;2.27;3.40;3.43;2.55;2.27;3.40;3.43
2016-2017;56.06;0;8;-1;1;0;0;6;2.84;1;2.80;2.33;4.10;3.25;2.80;2.33;4.10;3.25
2016-2017;11.05;1;1;0;0;0;0;6;;0;;;;;3.08;2.15;3.18;2.98
2016-2017;15.58;0;2;1;1;0;0;6;4.53;1;2.45;2.27;3.00;3.20;2.45;2.27;3.00;3.20
2016-2017;16.27;0;3;1;0;0;0;6;0.69;-1;3.08;2.15;3.18;2.98;2.45;2.27;3.00;3.20
2016-2017;50.37;1;4;2;-1;0;0;6;34.1;-2;3.08;2.15;3.18;2.98;3.08;2.15;3.18;2.98
2016-2017;22.39;0;1;0;0;0;1;6;;0;;;;;2.52;2.95;3.42;3.52
2016-2017;23.39;0;2;0;-1;0;1;6;1;-1;2.28;2.88;3.28;3.37;2.52;2.95;3.42;3.52
2016-2017;33.26;1;3;0;-2;0;1;6;9.87;-2;2.28;2.88;3.28;3.37;2.28;2.88;3.28;3.37
2016-2017;37.03;1;4;0;-1;0;1;6;3.77;1;2.52;2.95;3.42;3.52;2.28;2.88;3.28;3.37
2016-2017;41.48;0;5;0;0;1;1;6;4.45;2;2.52;2.95;3.42;3.52;2.52;2.95;3.42;3.52
2016-2017;43.27;0;6;0;-1;0;1;6;1.79;-1;2.28;2.88;3.28;3.37;2.52;2.95;3.42;3.52
2016-2017;47.29;1;7;2;-2;1;1;6;4.02;-2;2.28;2.88;3.28;3.37;2.28;2.88;3.28;3.37
2016-2017;55.42;0;8;1;-1;0;1;6;8.13;1;2.52;2.95;3.42;3.52;2.52;2.95;3.42;3.52
2016-2017;4.28;0;1;1;0;0;0;6;;0;;;;;2.13;2.82;3.22;3.47
2016-2017;8.42;1;2;2;-1;0;0;6;4.14;-1;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;21;0;3;2;0;0;0;6;12.58;1;2.13;2.82;3.22;3.47;2.13;2.82;3.22;3.47
2016-2017;26.54;1;4;2;-1;0;0;6;5.54;-1;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;26.54;0;5;2;0;0;0;6;0;1;2.13;2.82;3.22;3.47;2.13;2.82;3.22;3.47
2016-2017;26.54;1;6;2;-1;0;0;6;0;-1;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;26.54;1;7;2;0;0;0;6;0;1;2.13;2.82;3.22;3.47;2.62;2.50;3.73;3.58
2016-2017;34.13;1;8;2;1;0;0;6;7.59;2;2.13;2.82;3.22;3.47;2.62;2.50;3.73;3.58
2016-2017;57.36;1;9;1;2;1;0;6;23.23;3;2.13;2.82;3.22;3.47;2.62;2.50;3.73;3.58
2016-2017;4.35;0;1;1;0;0;0;6;;0;;;;;2.13;2.37;2.85;3.40
2016-2017;16.3;1;2;2;-1;0;0;6;11.95;-1;2.78;2.05;3.62;3.27;2.78;2.05;3.62;3.27
2016-2017;21.28;1;3;1;0;1;0;6;4.98;1;2.13;2.37;2.85;3.40;2.78;2.05;3.62;3.27
2016-2017;32.17;0;4;1;1;0;0;6;10.89;2;2.13;2.37;2.85;3.40;2.13;2.37;2.85;3.40
2016-2017;51.42;0;5;2;0;0;0;6;19.25;-1;2.78;2.05;3.62;3.27;2.13;2.37;2.85;3.40
2016-2017;12.51;0;1;-1;0;0;0;6;;0;;;;;2.30;2.33;2.78;3.28
2016-2017;24.55;1;2;-1;-1;0;0;6;12.04;-1;2.38;2.43;3.20;3.18;2.38;2.43;3.20;3.18
2016-2017;29.59;0;3;0;0;0;0;6;5.04;1;2.30;2.33;2.78;3.28;2.30;2.33;2.78;3.28
2016-2017;36.23;1;4;0;-1;0;0;6;6.64;-1;2.38;2.43;3.20;3.18;2.38;2.43;3.20;3.18
2016-2017;45.26;0;5;-2;0;1;0;6;9.03;1;2.30;2.33;2.78;3.28;2.30;2.33;2.78;3.28
2016-2017;4.1;0;1;-1;0;0;0;6;;0;;;;;2.55;2.27;3.40;3.43
2016-2017;5.39;1;2;-1;-1;0;0;6;1.29;-1;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;10.57;0;3;-1;0;0;0;6;5.18;1;2.55;2.27;3.40;3.43;2.55;2.27;3.40;3.43
2016-2017;22;0;4;-1;-1;0;0;6;11.43;-1;2.62;2.50;3.73;3.58;2.55;2.27;3.40;3.43
2016-2017;27.56;1;5;-2;-2;0;0;6;5.56;-2;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;32.39;0;6;-2;-1;0;0;6;4.83;1;2.55;2.27;3.40;3.43;2.55;2.27;3.40;3.43
2016-2017;41.47;1;7;-2;-2;0;0;6;9.08;-1;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;48.08;0;8;-2;-1;1;0;6;6.61;1;2.55;2.27;3.40;3.43;2.55;2.27;3.40;3.43
2016-2017;51.06;1;9;0;-2;1;0;6;2.98;-1;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;64.29;1;10;0;-1;0;0;6;13.23;1;2.55;2.27;3.40;3.43;2.62;2.50;3.73;3.58
2016-2017;11.06;1;1;-1;0;0;0;6;;0;;;;;2.52;2.95;3.42;3.52
2016-2017;14.24;0;2;-1;1;0;0;6;3.18;1;2.13;2.35;3.15;2.95;2.13;2.35;3.15;2.95
2016-2017;18.23;0;3;-1;0;0;0;6;3.99;-1;2.52;2.95;3.42;3.52;2.13;2.35;3.15;2.95
2016-2017;30.24;1;4;0;-1;0;0;6;12.01;-2;2.52;2.95;3.42;3.52;2.52;2.95;3.42;3.52
2016-2017;49.31;0;5;0;0;1;0;6;19.07;1;2.13;2.35;3.15;2.95;2.13;2.35;3.15;2.95
2016-2017;3.23;0;1;0;0;0;0;6;;0;;;;;2.28;2.88;3.28;3.37
2016-2017;6.23;1;2;1;-1;0;0;6;3;-1;2.13;2.82;3.22;3.47;2.13;2.82;3.22;3.47
2016-2017;23.55;0;3;0;0;0;0;6;17.32;1;2.28;2.88;3.28;3.37;2.28;2.88;3.28;3.37
2016-2017;31.39;1;4;1;-1;0;0;6;7.84;-1;2.13;2.82;3.22;3.47;2.13;2.82;3.22;3.47
2016-2017;47;0;7;1;0;0;0;6;15.61;1;2.28;2.88;3.28;3.37;2.28;2.88;3.28;3.37
2016-2017;54;1;8;2;-1;0;0;6;7;-1;2.13;2.82;3.22;3.47;2.13;2.82;3.22;3.47
2016-2017;37.59;0;1;-3;0;0;0;6;;0;;;;;1.93;3.02;3.40;3.67
2016-2017;47.49;0;2;-4;-1;0;0;6;9.9;-1;2.45;2.27;3.00;3.20;1.93;3.02;3.40;3.67
2016-2017;57.15;0;3;-3;-2;1;0;6;9.66;-2;2.45;2.27;3.00;3.20;1.93;3.02;3.40;3.67
2016-2017;9.42;1;1;0;0;0;0;6;;0;;;;;2.80;2.33;4.10;3.25
2016-2017;14.35;0;2;0;1;0;0;6;4.93;1;3.08;2.15;3.18;2.98;3.08;2.15;3.18;2.98
2016-2017;17.08;1;3;1;0;1;0;6;2.73;-1;2.80;2.33;4.10;3.25;2.80;2.33;4.10;3.25
2016-2017;19.47;1;4;0;1;1;0;6;2.39;1;3.08;2.15;3.18;2.98;2.80;2.33;4.10;3.25
2016-2017;23.25;1;5;-1;2;1;0;6;3.78;2;3.08;2.15;3.18;2.98;2.80;2.33;4.10;3.25
2016-2017;51.54;0;6;1;3;0;0;6;28.29;3;3.08;2.15;3.18;2.98;3.08;2.15;3.18;2.98
2016-2017;13.52;1;1;0;0;0;0;6;;0;;;;;2.55;2.27;3.40;3.43
2016-2017;19.56;0;2;1;1;0;0;6;6.04;1;2.38;2.43;3.20;3.18;2.38;2.43;3.20;3.18
2016-2017;30.28;0;3;1;0;0;0;6;10.72;-1;2.55;2.27;3.40;3.43;2.38;2.43;3.20;3.18
2016-2017;36.42;1;4;2;-1;1;0;6;6.14;-2;2.55;2.27;3.40;3.43;2.55;2.27;3.40;3.43
2016-2017;48.3;0;5;2;0;0;0;6;11.88;1;2.38;2.43;3.20;3.18;2.38;2.43;3.20;3.18
2016-2017;48.34;0;6;2;-1;0;0;6;0.04;-1;2.55;2.27;3.40;3.43;2.38;2.43;3.20;3.18
2016-2017;58.13;1;7;4;-2;1;0;6;9.79;-2;2.55;2.27;3.40;3.43;2.55;2.27;3.40;3.43
2016-2017;15.58;0;1;1;0;0;0;6;;0;;;;;2.28;2.88;3.28;3.37
2016-2017;20.48;0;2;0;-1;0;0;6;4.9;-1;2.45;2.27;3.00;3.20;2.28;2.88;3.28;3.37
2016-2017;30.13;1;3;1;-2;0;0;6;9.65;-2;2.45;2.27;3.00;3.20;2.45;2.27;3.00;3.20
2016-2017;21.47;1;3;1;-1;0;0;6;;1;;;;;3.08;2.15;3.18;2.98
2016-2017;44.04;0;4;1;0;0;0;6;22.57;2;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;47.08;1;5;1;-1;0;0;6;3.04;-1;3.08;2.15;3.18;2.98;3.08;2.15;3.18;2.98
2016-2017;48.24;1;6;0;0;1;0;6;1.16;1;2.62;2.50;3.73;3.58;3.08;2.15;3.18;2.98
2016-2017;48.52;0;7;0;1;0;0;6;0.28;2;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;51.04;1;8;1;0;0;0;6;2.52;-1;3.08;2.15;3.18;2.98;3.08;2.15;3.18;2.98
2016-2017;1.16;1;1;0;0;0;0;6;;0;;;;;2.13;2.82;3.22;3.47
2016-2017;20.15;1;2;1;1;0;0;6;18.99;1;1.93;3.02;3.40;3.67;2.13;2.82;3.22;3.47
2016-2017;21.58;0;3;1;2;0;0;6;1.43;2;1.93;3.02;3.40;3.67;1.93;3.02;3.40;3.67
2016-2017;31.33;1;4;1;1;0;0;6;9.75;-1;2.13;2.82;3.22;3.47;2.13;2.82;3.22;3.47
2016-2017;36.39;0;5;1;2;0;0;6;5.06;1;1.93;3.02;3.40;3.67;1.93;3.02;3.40;3.67
2016-2017;41.19;1;6;1;1;0;0;6;4.8;-1;2.13;2.82;3.22;3.47;2.13;2.82;3.22;3.47
2016-2017;45.58;0;7;1;2;0;0;6;4.39;1;1.93;3.02;3.40;3.67;1.93;3.02;3.40;3.67
2016-2017;0.28;0;1;0;0;0;0;6;;0;;;;;2.80;2.33;4.10;3.25
2016-2017;6.27;0;2;0;-1;0;0;6;5.99;-1;2.13;2.35;3.15;2.95;2.80;2.33;4.10;3.25
2016-2017;30.29;1;3;1;-2;0;0;6;24.02;-2;2.13;2.35;3.15;2.95;2.13;2.35;3.15;2.95
2016-2017;56;1;4;1;-1;0;0;6;25.71;1;2.80;2.33;4.10;3.25;2.13;2.35;3.15;2.95
2016-2017;11.17;0;1;0;0;0;0;6;;0;;;;;2.78;2.05;3.62;3.27
2016-2017;15.34;1;2;0;-1;0;0;6;4.17;-1;2.30;2.33;2.78;3.28;2.30;2.33;2.78;3.28
2016-2017;24.38;1;3;1;0;0;0;6;9.04;1;2.78;2.05;3.62;3.27;2.30;2.33;2.78;3.28
2016-2017;27.01;0;4;1;1;0;0;6;2.63;2;2.78;2.05;3.62;3.27;2.78;2.05;3.62;3.27
2016-2017;43.4;0;5;2;0;1;0;6;16.39;-1;2.30;2.33;2.78;3.28;2.78;2.05;3.62;3.27
2016-2017;45.48;0;6;2;-1;0;0;6;2.08;-2;2.30;2.33;2.78;3.28;2.78;2.05;3.62;3.27
2016-2017;2.38;0;1;0;0;0;0;6;;0;;;;;2.13;2.37;2.85;3.40
2016-2017;20.56;0;2;0;-1;0;0;6;18.18;-1;2.67;2.05;3.53;3.32;2.13;2.37;2.85;3.40
2016-2017;25.43;1;3;0;-2;0;0;6;4.87;-2;2.67;2.05;3.53;3.32;2.67;2.05;3.53;3.32
2016-2017;34.03;1;4;0;-1;0;0;6;8.6;1;2.13;2.37;2.85;3.40;2.67;2.05;3.53;3.32
2016-2017;44.51;1;5;0;0;0;0;6;10.48;2;2.13;2.37;2.85;3.40;2.67;2.05;3.53;3.32
2016-2017;8.31;0;1;0;0;0;1;6;;0;;;;;2.55;2.27;3.40;3.43
2016-2017;51.42;1;2;1;-1;0;1;6;43.11;-1;2.78;2.05;3.62;3.27;2.78;2.05;3.62;3.27
2016-2017;57.06;1;3;1;0;0;1;6;5.64;1;2.55;2.27;3.40;3.43;2.78;2.05;3.62;3.27
2016-2017;5.03;1;1;0;0;0;1;6;;0;;;;;1.93;3.02;3.40;3.67
2016-2017;10.57;0;2;0;1;0;1;6;5.54;1;2.13;2.35;3.15;2.95;2.13;2.35;3.15;2.95
2016-2017;31.33;0;3;0;0;1;1;6;20.76;-1;1.93;3.02;3.40;3.67;2.13;2.35;3.15;2.95
2016-2017;38.31;0;4;0;-1;0;1;6;6.98;-2;1.93;3.02;3.40;3.67;2.13;2.35;3.15;2.95
2016-2017;42.09;0;5;0;-2;0;1;6;3.78;-3;1.93;3.02;3.40;3.67;2.13;2.35;3.15;2.95
2016-2017;11.35;1;1;1;0;0;1;6;;0;;;;;2.80;2.33;4.10;3.25
2016-2017;18.15;0;2;1;1;0;1;6;6.8;1;2.67;2.05;3.53;3.32;2.67;2.05;3.53;3.32
2016-2017;22.42;1;3;2;0;1;1;6;4.27;-1;2.80;2.33;4.10;3.25;2.80;2.33;4.10;3.25
2016-2017;31.16;1;4;3;1;0;1;6;8.74;1;2.67;2.05;3.53;3.32;2.80;2.33;4.10;3.25
2016-2017;47.06;0;5;4;2;0;1;6;15.9;2;2.67;2.05;3.53;3.32;2.67;2.05;3.53;3.32
2016-2017;53.46;1;6;4;1;0;1;6;6.4;-1;2.80;2.33;4.10;3.25;2.80;2.33;4.10;3.25
2016-2017;57.41;0;7;4;2;0;1;6;3.95;1;2.67;2.05;3.53;3.32;2.67;2.05;3.53;3.32
2016-2017;3.42;0;1;0;0;0;0;6;;0;;;;;2.45;2.27;3.00;3.20
2016-2017;8.44;1;2;1;-1;0;0;6;5.02;-1;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;15.49;0;3;0;0;0;0;6;7.05;1;2.45;2.27;3.00;3.20;2.45;2.27;3.00;3.20
2016-2017;19.01;1;4;0;-1;0;0;6;3.52;-1;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;23.19;1;5;1;0;0;0;6;4.18;1;2.45;2.27;3.00;3.20;2.62;2.50;3.73;3.58
2016-2017;25.44;0;6;1;1;0;0;6;2.25;2;2.45;2.27;3.00;3.20;2.45;2.27;3.00;3.20
2016-2017;39.04;0;7;2;0;0;0;6;13.6;-1;2.62;2.50;3.73;3.58;2.45;2.27;3.00;3.20
2016-2017;51.14;1;8;2;-1;0;0;6;12.1;-2;2.62;2.50;3.73;3.58;2.62;2.50;3.73;3.58
2016-2017;37.17;0;1;-1;0;0;1;6;;0;;;;;2.52;2.95;3.42;3.52
2016-2017;42.36;1;2;-1;-1;0;1;6;5.19;-1;2.13;2.37;2.85;3.40;2.13;2.37;2.85;3.40
2016-2017;58.27;0;3;-3;0;1;1;6;15.91;1;2.52;2.95;3.42;3.52;2.52;2.95;3.42;3.52
2016-2017;58.27;1;4;-3;-1;0;1;6;0;-1;2.13;2.37;2.85;3.40;2.13;2.37;2.85;3.40
2016-2017;58.27;1;5;-3;0;0;1;6;0;1;2.52;2.95;3.42;3.52;2.13;2.37;2.85;3.40
2016-2017;16.39;0;1;-1;0;0;1;6;;0;;;;;2.13;2.82;3.22;3.47
2016-2017;36.01;0;2;-1;-1;0;1;6;19.62;-1;2.30;2.33;2.78;3.28;2.13;2.82;3.22;3.47
2016-2017;38.21;1;3;-1;-2;0;1;6;2.2;-2;2.30;2.33;2.78;3.28;2.30;2.33;2.78;3.28
2016-2017;55.12;1;4;-1;-1;0;1;6;16.91;1;2.13;2.82;3.22;3.47;2.30;2.33;2.78;3.28
2016-2017;7.08;1;1;0;0;0;1;6;;0;;;;;2.38;2.43;3.20;3.18
2016-2017;13.49;1;2;-1;1;0;1;6;6.41;1;3.08;2.15;3.18;2.98;2.38;2.43;3.20;3.18
2016-2017;22.29;0;3;-2;2;0;1;6;8.8;2;3.08;2.15;3.18;2.98;3.08;2.15;3.18;2.98
