id;season;year;date;homeTeam;awayTeam;name;time;type;home;numpen;goaldiff;pendiff;ppgoal;capacity;reason;month;inRow;timebetpens;referees;gf1;ga1;pf1;pa1;gf2;ga2;pf2;pa2
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Jake Hansen;46.17;2;0;17;-1;-2;0;1;poikittainen maila;1;-1;0;Mikko Kaukokari-Petri Lindqvist;2.52;2.38;3.97;3.8;2.72;2.45;4.28;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Filip Riska;52.52;2;1;18;-1;-3;0;1;korkea maila;1;-2;6.35;Mikko Kaukokari-Petri Lindqvist;2.52;2.38;3.97;3.8;2.52;2.38;3.97;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Patrik Parkkonen;55.21;2;0;19;-1;-2;0;1;estäminen;1;1;2.69;Mikko Kaukokari-Petri Lindqvist;2.72;2.45;4.28;3.8;2.72;2.45;4.28;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Valtteri Viljanen;63.5;2;0;20;0;-3;1;1;estäminen;1;-1;8.29;Mikko Kaukokari-Petri Lindqvist;2.52;2.38;3.97;3.8;2.72;2.45;4.28;3.8
6133;2014-2015;2015;12.9.2014;Ilves;Tappara;David Kolomatis;9.4;2;0;1;0;0;0;0;koukkaaminen;1;0;;Timo Favorin-Jussi Leppänen;;;;;2.5;2.68;4.3;4.47
6133;2014-2015;2015;12.9.2014;Ilves;Tappara;Martti Järventie;12.4;2;1;2;0;-1;0;0;koukkaaminen;1;-1;3;Timo Favorin-Jussi Leppänen;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
6133;2014-2015;2015;12.9.2014;Ilves;Tappara;Tapio Laakso;17.09;2;1;3;0;0;0;0;estäminen;1;1;4.69;Timo Favorin-Jussi Leppänen;2.5;2.68;4.3;4.47;2.58;2.05;4.32;3.97
6133;2014-2015;2015;12.9.2014;Ilves;Tappara;Tuukka Mäntylä;29.31;2;0;4;0;1;0;0;kampitus;1;2;12.22;Timo Favorin-Jussi Leppänen;2.5;2.68;4.3;4.47;2.5;2.68;4.3;4.47
6133;2014-2015;2015;12.9.2014;Ilves;Tappara;Markus Kankaanperä;39.55;2;0;5;-1;0;0;0;estäminen;1;-1;10.24;Timo Favorin-Jussi Leppänen;2.58;2.05;4.32;3.97;2.5;2.68;4.3;4.47
6133;2014-2015;2015;12.9.2014;Ilves;Tappara;David Kolomatis;49.14;2;0;6;-1;-1;0;0;huitominen;1;-2;9.59;Timo Favorin-Jussi Leppänen;2.58;2.05;4.32;3.97;2.5;2.68;4.3;4.47
6133;2014-2015;2015;12.9.2014;Ilves;Tappara;Jiri Veistola;52.2;2;1;7;-1;-2;0;0;estäminen;1;-3;3.06;Timo Favorin-Jussi Leppänen;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
6134;2014-2015;2015;12.9.2014;JYP;Sport;Jarkko Hattunen;1.26;2;0;1;0;0;0;0;koukkaaminen;1;0;;Jukka Hakkarainen-Marko Kovanen;;;;;2.9;2.52;3.9;4.4
6134;2014-2015;2015;12.9.2014;JYP;Sport;Mikko Mäenpää;2.09;2;1;2;0;-1;0;0;estäminen;1;-1;0.83;Jukka Hakkarainen-Marko Kovanen;2.02;3.08;3.9;4.17;2.02;3.08;3.9;4.17
6134;2014-2015;2015;12.9.2014;JYP;Sport;Matt Generous;5.1;2;0;3;0;0;0;0;koukkaaminen;1;1;3.01;Jukka Hakkarainen-Marko Kovanen;2.9;2.52;3.9;4.4;2.9;2.52;3.9;4.4
6134;2014-2015;2015;12.9.2014;JYP;Sport;Joukkuerangaistus;6.06;2;1;4;0;-1;0;0;liian monta pelaajaa jäällä;1;-1;0.96;Jukka Hakkarainen-Marko Kovanen;2.02;3.08;3.9;4.17;2.02;3.08;3.9;4.17
6134;2014-2015;2015;12.9.2014;JYP;Sport;Markus Hännikäinen;6.27;2;1;5;0;0;0;0;huitominen;1;1;0.21;Jukka Hakkarainen-Marko Kovanen;2.9;2.52;3.9;4.4;2.02;3.08;3.9;4.17
6134;2014-2015;2015;12.9.2014;JYP;Sport;Niko Peltola;7.39;2;0;6;0;1;0;0;estäminen;1;2;1.12;Jukka Hakkarainen-Marko Kovanen;2.9;2.52;3.9;4.4;2.9;2.52;3.9;4.4
6134;2014-2015;2015;12.9.2014;JYP;Sport;Aleksi Salonen;9.43;2;1;7;0;0;0;0;kampitus;1;-1;2.04;Jukka Hakkarainen-Marko Kovanen;2.02;3.08;3.9;4.17;2.02;3.08;3.9;4.17
6134;2014-2015;2015;12.9.2014;JYP;Sport;Marko Luomala;13.25;2;0;8;0;1;0;0;kampitus;1;1;3.82;Jukka Hakkarainen-Marko Kovanen;2.9;2.52;3.9;4.4;2.9;2.52;3.9;4.4
6134;2014-2015;2015;12.9.2014;JYP;Sport;Mikko Mäenpää;14.29;2;1;9;0;0;0;0;huitominen;1;-1;1.04;Jukka Hakkarainen-Marko Kovanen;2.02;3.08;3.9;4.17;2.02;3.08;3.9;4.17
6134;2014-2015;2015;12.9.2014;JYP;Sport;Joonas Valkonen;15.19;2;0;10;0;1;0;0;väkivaltaisuus;1;1;0.9;Jukka Hakkarainen-Marko Kovanen;2.9;2.52;3.9;4.4;2.9;2.52;3.9;4.4
6134;2014-2015;2015;12.9.2014;JYP;Sport;Charles Bertrand;17.32;2;0;11;0;0;0;0;huitominen;1;-1;2.13;Jukka Hakkarainen-Marko Kovanen;2.02;3.08;3.9;4.17;2.9;2.52;3.9;4.4
6134;2014-2015;2015;12.9.2014;JYP;Sport;Mikko Mäenpää;20.31;2;1;12;-1;-1;0;0;huitominen;1;-2;2.99;Jukka Hakkarainen-Marko Kovanen;2.02;3.08;3.9;4.17;2.02;3.08;3.9;4.17
6134;2014-2015;2015;12.9.2014;JYP;Sport;Aleksi Rekonen;23.22;2;0;13;-1;0;0;0;kiinnipitäminen;1;1;2.91;Jukka Hakkarainen-Marko Kovanen;2.9;2.52;3.9;4.4;2.9;2.52;3.9;4.4
6134;2014-2015;2015;12.9.2014;JYP;Sport;Mikko Viitanen;25.03;2;1;14;0;-1;1;0;korkea maila;1;-1;1.81;Jukka Hakkarainen-Marko Kovanen;2.02;3.08;3.9;4.17;2.02;3.08;3.9;4.17
6134;2014-2015;2015;12.9.2014;JYP;Sport;Matt Generous;35.42;2;0;15;-1;0;0;0;korkea maila;1;1;10.39;Jukka Hakkarainen-Marko Kovanen;2.9;2.52;3.9;4.4;2.9;2.52;3.9;4.4
6134;2014-2015;2015;12.9.2014;JYP;Sport;Tuomas Pihlman;36.05;2;1;16;-1;-1;0;0;estäminen;1;-1;0.63;Jukka Hakkarainen-Marko Kovanen;2.02;3.08;3.9;4.17;2.02;3.08;3.9;4.17
6134;2014-2015;2015;12.9.2014;JYP;Sport;Joonas Valkonen;37.19;2;0;17;-1;0;0;0;kampitus;1;1;1.14;Jukka Hakkarainen-Marko Kovanen;2.9;2.52;3.9;4.4;2.9;2.52;3.9;4.4
6134;2014-2015;2015;12.9.2014;JYP;Sport;Mikko Kalteva;40.33;2;1;18;-1;-1;0;0;estäminen;1;-1;3.14;Jukka Hakkarainen-Marko Kovanen;2.02;3.08;3.9;4.17;2.02;3.08;3.9;4.17
6134;2014-2015;2015;12.9.2014;JYP;Sport;Damien Fleury;42.25;2;0;19;-1;0;0;0;kampitus;1;1;1.92;Jukka Hakkarainen-Marko Kovanen;2.9;2.52;3.9;4.4;2.9;2.52;3.9;4.4
6134;2014-2015;2015;12.9.2014;JYP;Sport;Éric Perrin;47.05;2;1;20;0;-1;1;0;huitominen;1;-1;4.8;Jukka Hakkarainen-Marko Kovanen;2.02;3.08;3.9;4.17;2.02;3.08;3.9;4.17
6134;2014-2015;2015;12.9.2014;JYP;Sport;Kelsey Tessier;51.34;2;0;21;0;0;0;0;korkea maila;1;1;4.29;Jukka Hakkarainen-Marko Kovanen;2.9;2.52;3.9;4.4;2.9;2.52;3.9;4.4
6134;2014-2015;2015;12.9.2014;JYP;Sport;Jarkko Hattunen;57.25;2;0;22;1;-1;0;0;estäminen;1;-1;5.91;Jukka Hakkarainen-Marko Kovanen;2.02;3.08;3.9;4.17;2.9;2.52;3.9;4.4
6135;2014-2015;2015;12.9.2014;KalPa;SaiPa;Michal Birner;0.4;2;1;1;0;0;0;0;poikittainen maila;1;0;;Tuomas Pöyhönen-Teemu Salminen;;;;;2.52;2.43;4.45;4.43
